timestamp,can_id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,label
1744385383.1727622,398,0,0,92,0,0,0,0,0,0
1744385383.174077,387,0,0,0,12,0,0,16,30,0
1744385383.174102,323,107,107,0,209,0,0,0,0,0
1744385383.1761098,580,0,0,0,1,89,0,0,0,0
1744385383.17665,149,128,0,7,244,0,0,0,8,0
1744385383.1792195,358,208,50,0,24,0,0,0,0,0
1744385383.1803453,344,0,0,0,0,0,0,0,25,0
1744385383.1803677,353,0,0,5,80,1,8,0,28,0
1744385383.1803725,401,1,0,144,161,65,0,3,0,0
1744385383.1815145,57,0,27,0,0,0,0,0,0,0
1744385383.1815388,307,0,0,0,0,167,0,0,0,0
1744385383.181543,310,0,2,0,0,0,0,0,42,0
1744385383.1815472,314,0,0,0,0,0,0,0,40,0
1744385383.181551,319,0,0,0,5,0,0,0,46,0
1744385383.182685,356,0,0,192,26,168,0,0,4,0
1744385383.18271,380,0,0,0,0,16,0,0,33,0
1744385383.1827147,398,0,0,107,0,0,0,0,0,0
1744385383.182719,463,128,5,0,0,0,30,0,0,0
1744385383.1827247,476,2,0,0,27,0,0,0,0,0
1744385383.182729,800,0,0,18,0,0,0,0,0,0
1744385383.183997,804,116,101,0,0,0,0,14,26,0
1744385383.1840203,892,253,0,253,0,9,127,0,26,0
1744385383.184024,387,0,0,0,9,0,0,16,32,0
1744385383.1859405,323,107,107,0,224,0,0,0,0,0
1744385383.186623,580,0,0,0,1,221,0,0,0,0
1744385383.1870403,149,128,0,7,244,0,0,0,23,0
1744385383.1870615,420,0,0,0,8,0,0,0,62,0
1744385383.1870651,426,127,255,0,0,0,0,104,62,0
1744385383.1881208,432,0,15,0,0,0,1,117,0,0
1744385383.1881554,464,0,0,0,0,0,0,0,10,0
1744385383.1895838,358,208,50,0,39,0,0,0,0,0
1744385383.1907852,344,0,0,0,0,0,0,0,40,0
1744385383.1908083,353,0,0,5,80,1,8,0,43,0
1744385383.190812,401,1,0,144,161,65,0,18,0,0
1744385383.190815,307,0,0,0,0,182,0,0,0,0
1744385383.1908178,310,0,2,0,0,0,0,0,57,0
1744385383.1920998,314,0,0,0,0,0,0,0,55,0
1744385383.1921232,319,0,0,0,5,0,0,0,61,0
1744385383.1921268,356,0,0,192,26,168,0,0,19,0
1744385383.19213,380,0,0,0,0,16,0,0,48,0
1744385383.192133,398,0,0,122,0,0,0,0,0,0
1744385383.193325,660,4,11,0,2,207,90,0,59,0
1744385383.193355,542,3,232,55,69,34,6,62,0,0
1744385383.1933606,57,0,42,0,0,0,0,0,0,0
1744385383.194595,387,0,0,0,14,0,0,16,58,0
1744385383.1946187,323,107,107,0,255,0,0,0,0,0
1744385383.1975155,149,128,0,7,244,0,0,0,38,0
1744385383.19761,580,0,0,0,1,204,0,0,0,0
1744385383.199098,358,208,50,0,54,0,0,0,0,0
1744385383.2006338,344,0,0,0,0,0,0,0,55,0
1744385383.20066,353,0,0,5,80,1,8,0,58,0
1744385383.2006636,401,1,0,144,161,65,0,33,0,0
1744385383.200667,307,0,0,0,0,137,0,0,0,0
1744385383.2017975,310,0,2,0,0,0,0,0,12,0
1744385383.201821,314,0,0,0,0,0,0,0,10,0
1744385383.2018254,319,0,0,0,5,0,0,0,0,0
1744385383.2018292,356,0,0,192,26,168,0,0,34,0
1744385383.2018342,380,0,0,0,0,16,0,0,3,0
1744385383.2036972,398,0,0,77,0,0,0,0,0,0
1744385383.203727,463,128,5,0,0,0,45,0,0,0
1744385383.203731,476,2,0,0,42,0,0,0,0,0
1744385383.203735,387,0,0,0,10,0,0,16,1,0
1744385383.204989,323,107,107,0,194,0,0,0,0,0
1744385383.2075615,149,128,0,7,244,0,0,0,53,0
1744385383.207589,420,0,0,0,8,0,0,0,1,0
